STAGE 1 (Deleted after full reading),,,STAGE 2 (Deleted after full reading),
,,,,
Article name,Reason for exclusion,,Article name,Reason for exclusion
"""Artificial Intelligence"" for Pharmacovigilance: Ready for Prime Time?","Theoretical study, Does not use data mining",,Cai et al. - Real-world safety of icosapent ethyl: analysis based on spontaneous reports in FAERS database,closed access article
[Adverse Event Trends Associated with OTC Analgesic and Antipyretic Drug: Data Mining of the Japanese Adverse Drug Event Report Database].,Not available in English,,Cao et al. - Evaluating Ubrogepant-related adverse events using the FDA adverse event reporting system,closed access article
[Adverse Event Trends Associated with Over-the-counter Combination Cold Remedy: Data Mining of the Japanese Adverse Drug Event Report Database].,Not available in English,,Ji et al. - Adverse event profiles of drug-induced decreased libido: an assessment of the US food and drug administration Adverse Event Reporting System,closed access article
[Adverse Event Trends Associated with Over-the-counter Drugs: Data Mining of the Japanese Adverse Drug Event Report Database].,Not available in English,,Li et al. - Data mining and safety analysis of traditional immunosuppressive drugs: a pharmacovigilance investigation based on the FAERS database,closed access article
[Association between Selective Beta-adrenergic Drugs and Blood Pressure Elevation: Data Mining of the Japanese Adverse Drug Event Report (JADER) Database].,Not available in English,,Li et al. - Gender differences in adverse events related to Osimertinib: a real-world pharmacovigilance analysis of FDA adverse event reporting system,closed access article
3D pharmacophoric similarity improves multi adverse drug event identification in pharmacovigilance,Does not use data mining,,Rao et al. - Assessment of adverse events of the novel cardiovascular drug vericiguat: a real-world pharmacovigilance study based on FAERS,closed access article
A biological pharmacology network to secure the risk of drug-drug interaction with nirmatrelvir/ritonavir,Does not use pharmacovigilance data,,Shi et al. - Comparing adverse events of tenecteplase and alteplase: a real-world analysis of the FDA adverse event reporting system (FAERS),closed access article
A broad assessment of covid-19 vaccine safety using tree-based data-mining in the vaccine safety datalink,Uses vaccine data,,Singh et al. - Identification of novel signal of Raynaud’s phenomenon with Calcitonin Gene-Related Peptide(CGRP) antagonists using data mining algorithms and network pharmacological approaches,closed access article
A broad assessment of rotavirus vaccine safety in infants in Korea: Insights from a data-driven signal detection approach,Uses vaccine data,,Wang et al. - Cardiac arrhythmias associated with anaplastic lymphoma kinase (ALK) inhibitors: an analysis of the FDA Adverse Event Reporting System (FAERS),closed access article
A Broad Safety Assessment of the 9-Valent Human Papillomavirus Vaccine,Uses vaccine data,,Wang et al. - Data mining and analysis of the adverse events derived signals of 4 gadolinium-based contrast agents based on the US Food and drug administration adverse event reporting system,closed access article
A classification framework for exploiting sparse multi-variate temporal features with application to adverse drug event detection in medical records,Does not use pharmacovigilance data,,Wang et al. - Data mining for signal detection of adverse events for taxanes based on the food and drug administration adverse drug events reporting system database,closed access article
A comparative analysis of adverse drug reaction prediction techniques,"Does not use pharmacovigilance data, Does not use data mining",,Wen et al. - A real-world disproportionality analysis of ospemifene: data mining of the public version of FDA adverse event reporting system,closed access article
