article_id,technique,source_col
1,Information Component,disproportionality_techniques
1,Proportional Reporting Ratio,disproportionality_techniques
1,Reporting Odds Ratio,disproportionality_techniques
2,Reporting Odds Ratio,disproportionality_techniques
3,Empirical Bayes Geometric Mean,disproportionality_techniques
3,Information Component,disproportionality_techniques
3,Proportional Reporting Ratio,disproportionality_techniques
3,Reporting Odds Ratio,disproportionality_techniques
4,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
4,Information Component,disproportionality_techniques
4,Reporting Odds Ratio,disproportionality_techniques
5,Information Component,disproportionality_techniques
5,Proportional Reporting Ratio,disproportionality_techniques
6,Information Component,disproportionality_techniques
7,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
7,Empirical Bayes Geometric Mean,disproportionality_techniques
7,Information Component,disproportionality_techniques
7,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
7,Proportional Reporting Ratio,disproportionality_techniques
7,Reporting Odds Ratio,disproportionality_techniques
8,Reporting Odds Ratio,disproportionality_techniques
8,Proportional Reporting Ratio,disproportionality_techniques
8,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
8,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
9,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
9,Information Component,disproportionality_techniques
9,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
9,Proportional Reporting Ratio,disproportionality_techniques
9,Reporting Odds Ratio,disproportionality_techniques
10,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
10,Empirical Bayes Geometric Mean,disproportionality_techniques
10,Information Component,disproportionality_techniques
10,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
10,Proportional Reporting Ratio,disproportionality_techniques
10,Reporting Odds Ratio,disproportionality_techniques
11,Proportional Reporting Ratio,disproportionality_techniques
11,Reporting Odds Ratio,disproportionality_techniques
12,Case/non-case analysis,disproportionality_techniques
12,Reporting Odds Ratio,disproportionality_techniques
13,Empirical Bayes Geometric Mean,disproportionality_techniques
13,Information Component,disproportionality_techniques
13,Proportional Reporting Ratio,disproportionality_techniques
13,Reporting Odds Ratio,disproportionality_techniques
14,Information Component,disproportionality_techniques
14,Reporting Odds Ratio,disproportionality_techniques
15,Information Component,disproportionality_techniques
15,Proportional Reporting Ratio,disproportionality_techniques
15,Reporting Odds Ratio,disproportionality_techniques
16,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
16,Information Component,disproportionality_techniques
16,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
16,Proportional Reporting Ratio,disproportionality_techniques
16,Reporting Odds Ratio,disproportionality_techniques
17,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
17,Empirical Bayes Geometric Mean,disproportionality_techniques
17,Proportional Reporting Ratio,disproportionality_techniques
17,Reporting Odds Ratio,disproportionality_techniques
18,Proportional Reporting Ratio,disproportionality_techniques
19,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
19,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
19,Proportional Reporting Ratio,disproportionality_techniques
19,Reporting Odds Ratio,disproportionality_techniques
20,Proportional Reporting Ratio,disproportionality_techniques
20,Reporting Odds Ratio,disproportionality_techniques
21,Empirical Bayes Geometric Mean,disproportionality_techniques
21,Proportional Reporting Ratio,disproportionality_techniques
21,Reporting Odds Ratio,disproportionality_techniques
21,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
21,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
22,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
22,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
22,Proportional Reporting Ratio,disproportionality_techniques
22,Reporting Odds Ratio,disproportionality_techniques
23,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
23,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
23,Proportional Reporting Ratio,disproportionality_techniques
23,Reporting Odds Ratio,disproportionality_techniques
24,Information Component,disproportionality_techniques
24,Reporting Odds Ratio,disproportionality_techniques
25,Reporting Odds Ratio,disproportionality_techniques
26,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
26,Empirical Bayes Geometric Mean,disproportionality_techniques
26,Proportional Reporting Ratio,disproportionality_techniques
26,Reporting Odds Ratio,disproportionality_techniques
27,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
27,Proportional Reporting Ratio,disproportionality_techniques
27,Reporting Odds Ratio,disproportionality_techniques
28,Information Component,disproportionality_techniques
28,Proportional Reporting Ratio,disproportionality_techniques
28,Reporting Odds Ratio,disproportionality_techniques
29,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
29,Empirical Bayes Geometric Mean,disproportionality_techniques
29,Proportional Reporting Ratio,disproportionality_techniques
29,Reporting Odds Ratio,disproportionality_techniques
30,Information Component,disproportionality_techniques
30,Reporting Odds Ratio,disproportionality_techniques
31,Reporting Odds Ratio,disproportionality_techniques
32,Case-Only Odds Ratio (OR) Analysis,disproportionality_techniques
32,Likelihood Ratio Test,disproportionality_techniques
33,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
33,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
33,Proportional Reporting Ratio,disproportionality_techniques
33,Reporting Odds Ratio,disproportionality_techniques
34,Reporting Odds Ratio,disproportionality_techniques
35,MHRA Method,disproportionality_techniques
35,Proportional Reporting Ratio,disproportionality_techniques
35,Reporting Odds Ratio,disproportionality_techniques
36,Proportional Reporting Ratio,disproportionality_techniques
36,Reporting Odds Ratio,disproportionality_techniques
37,Combination Risk Ratio Model (CRR),disproportionality_techniques
37,Shrinkage Measure Model,disproportionality_techniques
38,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
38,Empirical Bayes Geometric Mean,disproportionality_techniques
38,Information Component,disproportionality_techniques
38,Proportional Reporting Ratio,disproportionality_techniques
38,Reporting Odds Ratio,disproportionality_techniques
39,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
39,Reporting Odds Ratio,disproportionality_techniques
40,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
40,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
40,Proportional Reporting Ratio,disproportionality_techniques
40,Reporting Odds Ratio,disproportionality_techniques
41,Information Component,disproportionality_techniques
41,Proportional Reporting Ratio,disproportionality_techniques
41,Reporting Odds Ratio,disproportionality_techniques
41,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
41,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
41,Empirical Bayes Geometric Mean,disproportionality_techniques
42,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
42,Information Component,disproportionality_techniques
42,Case-Only Odds Ratio (OR) Analysis,disproportionality_techniques
43,Information Component,disproportionality_techniques
43,Proportional Reporting Ratio,disproportionality_techniques
43,Reporting Odds Ratio,disproportionality_techniques
43,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
44,Information Component,disproportionality_techniques
44,Proportional Reporting Ratio,disproportionality_techniques
45,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
45,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
45,Proportional Reporting Ratio,disproportionality_techniques
45,Reporting Odds Ratio,disproportionality_techniques
46,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
46,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
46,Proportional Reporting Ratio,disproportionality_techniques
46,Reporting Odds Ratio,disproportionality_techniques
47,Reporting Odds Ratio,disproportionality_techniques
47,Proportional Reporting Ratio,disproportionality_techniques
48,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
48,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
48,Proportional Reporting Ratio,disproportionality_techniques
48,Reporting Odds Ratio,disproportionality_techniques
49,Empirical Bayes Geometric Mean,disproportionality_techniques
49,Relative Reporting Ratio,disproportionality_techniques
50,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
50,Empirical Bayes Geometric Mean,disproportionality_techniques
50,Information Component,disproportionality_techniques
50,Proportional Reporting Ratio,disproportionality_techniques
50,Reporting Odds Ratio,disproportionality_techniques
51,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
51,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
51,Proportional Reporting Ratio,disproportionality_techniques
51,Reporting Odds Ratio,disproportionality_techniques
52,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
52,Empirical Bayes Geometric Mean,disproportionality_techniques
52,Information Component,disproportionality_techniques
52,Proportional Reporting Ratio,disproportionality_techniques
52,Reporting Odds Ratio,disproportionality_techniques
53,Reporting Odds Ratio,disproportionality_techniques
54,MHRA Method,disproportionality_techniques
54,Reporting Odds Ratio,disproportionality_techniques
54,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
54,Proportional Reporting Ratio,disproportionality_techniques
55,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
55,Information Component,disproportionality_techniques
55,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
55,Reporting Odds Ratio,disproportionality_techniques
56,Proportional Reporting Ratio,disproportionality_techniques
56,Reporting Odds Ratio,disproportionality_techniques
57,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
57,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
57,Proportional Reporting Ratio,disproportionality_techniques
57,Reporting Odds Ratio,disproportionality_techniques
57,Information Component,disproportionality_techniques
58,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
58,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
58,Reporting Odds Ratio,disproportionality_techniques
58,Proportional Reporting Ratio,disproportionality_techniques
59,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
59,Proportional Reporting Ratio,disproportionality_techniques
59,Reporting Odds Ratio,disproportionality_techniques
59,Information Component,disproportionality_techniques
60,Reporting Odds Ratio,disproportionality_techniques
61,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
61,Reporting Odds Ratio,disproportionality_techniques
61,Proportional Reporting Ratio,disproportionality_techniques
61,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
62,Proportional Reporting Ratio,disproportionality_techniques
62,Reporting Odds Ratio,disproportionality_techniques
62,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
62,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
63,Information Component,disproportionality_techniques
63,Reporting Odds Ratio,disproportionality_techniques
63,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
64,Information Component,disproportionality_techniques
64,Reporting Odds Ratio,disproportionality_techniques
65,Information Component,disproportionality_techniques
65,Proportional Reporting Ratio,disproportionality_techniques
65,Reporting Odds Ratio,disproportionality_techniques
65,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
66,Information Component,disproportionality_techniques
67,Information Component,disproportionality_techniques
67,Proportional Reporting Ratio,disproportionality_techniques
67,Reporting Odds Ratio,disproportionality_techniques
68,MHRA Method,disproportionality_techniques
68,Reporting Odds Ratio,disproportionality_techniques
69,Information Component,disproportionality_techniques
69,Proportional Reporting Ratio,disproportionality_techniques
69,Reporting Odds Ratio,disproportionality_techniques
70,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
70,Reporting Odds Ratio,disproportionality_techniques
70,Proportional Reporting Ratio,disproportionality_techniques
70,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
70,Information Component,disproportionality_techniques
71,Not used,disproportionality_techniques
72,Chi-square Statistics Model,disproportionality_techniques
72,Shrinkage Measure Model,disproportionality_techniques
72,Proportional Reporting Ratio,disproportionality_techniques
73,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
73,Proportional Reporting Ratio,disproportionality_techniques
73,Reporting Odds Ratio,disproportionality_techniques
73,Information Component,disproportionality_techniques
74,Empirical Bayes Geometric Mean,disproportionality_techniques
74,Information Component,disproportionality_techniques
74,Proportional Reporting Ratio,disproportionality_techniques
74,Reporting Odds Ratio,disproportionality_techniques
75,Reporting Odds Ratio,disproportionality_techniques
75,Proportional Reporting Ratio,disproportionality_techniques
76,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
76,Reporting Odds Ratio,disproportionality_techniques
76,Proportional Reporting Ratio,disproportionality_techniques
77,Proportional Reporting Ratio,disproportionality_techniques
77,Reporting Odds Ratio,disproportionality_techniques
78,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
78,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
78,Proportional Reporting Ratio,disproportionality_techniques
78,Reporting Odds Ratio,disproportionality_techniques
79,Proportional Reporting Ratio,disproportionality_techniques
80,Reporting Odds Ratio,disproportionality_techniques
81,Empirical Bayes Geometric Mean,disproportionality_techniques
81,Information Component,disproportionality_techniques
81,Proportional Reporting Ratio,disproportionality_techniques
81,Reporting Odds Ratio,disproportionality_techniques
81,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
82,Reporting Odds Ratio,disproportionality_techniques
83,Proportional Reporting Ratio,disproportionality_techniques
84,Proportional Reporting Ratio,disproportionality_techniques
84,Reporting Odds Ratio,disproportionality_techniques
85,Empirical Bayes Geometric Mean,disproportionality_techniques
85,MHRA Method,disproportionality_techniques
85,Proportional Reporting Ratio,disproportionality_techniques
85,Reporting Odds Ratio,disproportionality_techniques
86,Reporting Odds Ratio,disproportionality_techniques
87,Reporting Odds Ratio,disproportionality_techniques
88,Reporting Odds Ratio,disproportionality_techniques
88,Likelihood Ratio Test,disproportionality_techniques
89,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
89,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
89,Proportional Reporting Ratio,disproportionality_techniques
89,Reporting Odds Ratio,disproportionality_techniques
90,Empirical Bayes Geometric Mean,disproportionality_techniques
90,Information Component,disproportionality_techniques
90,Proportional Reporting Ratio,disproportionality_techniques
90,Reporting Odds Ratio,disproportionality_techniques
91,MHRA Method,disproportionality_techniques
91,Reporting Odds Ratio,disproportionality_techniques
92,Reporting Odds Ratio,disproportionality_techniques
93,Bayesian Confidence Propagation Neural Network,disproportionality_techniques
93,Multi-item Gamma Poisson Shrinker,disproportionality_techniques
93,Proportional Reporting Ratio,disproportionality_techniques
93,Reporting Odds Ratio,disproportionality_techniques
94,Reporting Odds Ratio,disproportionality_techniques
95,Proportional Reporting Ratio,disproportionality_techniques
